id,name,short_url,price,original_price,rating_average,review_count,inventory_status,inventory_type,brand_name,camera_sau,camera_truoc,chip_do_hoa,chip_set,cpu_speed,dimensions,display_type,origin,product_weight,ram,resolution,rom,wifi,Time
123547396,Điện Thoại iPhone 13 256GB  - Hàng  Chính Hãng,https://tiki.vn/product-p123547396.html?spid=123547409,22490000,22490000,5,510,available,instock,Apple,2 Camera: Góc rộng ống kính f/1.8 - Siêu rộng,,,Chip A15 Bionic (5nm),,146.7 x 71.5 x 7.4 mm,Super Retina XDR,Trung Quốc,164g,4GB,,256GB,Wifi 6,2022-5-5
7192225,Ốp Lưng Dành Cho iPhone 7 Plus / 8 Plus Hổ Lửa 1,https://tiki.vn/product-p7192225.html?spid=7192227,52000,65000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
141498437,Ốp lưng dành cho Iphone 13 Mini - Iphone 13 - Iphone 13 Pro -  Iphone 13 Pro Max - 3 Chú Gấu 1,https://tiki.vn/product-p141498437.html?spid=141498470,56000,67000,5,2,available,backorder,OEM,,,,,,,,Việt Nam,0.2,,,,,2022-5-5
170581659,Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng,https://tiki.vn/product-p170581659.html?spid=170581666,5090000,5990000,4.8,17,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
123547339,Điện Thoại iPhone 13 512GB  - Hàng  Chính Hãng,https://tiki.vn/product-p123547339.html?spid=123547341,25990000,25990000,5,18,available,instock,Apple,2 Camera: Góc rộng ống kính f/1.8 - Siêu rộng,,,Chip A15 Bionic (5nm),,146.7 x 71.5 x 7.4 mm,Super Retina XDR,Trung Quốc,164g,4GB,,512GB,Wifi 6,2022-5-5
123547439,Điện Thoại iPhone 13 Mini 256GB  - Hàng  Chính Hãng,https://tiki.vn/product-p123547439.html?spid=168778785,20490000,20490000,4.8,31,available,instock,Apple,,,,,,,,Trung Quốc,,,,,,2022-5-5
123554519,Điện Thoại iPhone 13 Pro Max 512GB  - Hàng  Chính Hãng,https://tiki.vn/product-p123554519.html?spid=168778801,37990000,37990000,4.8,59,available,instock,Apple,,,,,,,,Trung Quốc,,,,,,2022-5-5
120450353,Điện thoại Samsung Galaxy A03s (4GB/64GB) - Hàng chính hãng,https://tiki.vn/product-p120450353.html?spid=126022664,3290000,3690000,4.7,63,available,instock,Samsung,,,,MediaTek MT6765 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,PLS LCD,,196 g,,HD+ (720 x 1600 pixels),,Wi-Fi 802.11 b/g/nWi-Fi hotspot,2022-5-5
9545359,Ốp lưng dành cho điện thoại IPHONE 7 Cánh Bướm Xanh Mẫu 1,https://tiki.vn/product-p9545359.html?spid=9545360,46214,46214,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
3337851,Road Trip: Page Turners 1,https://tiki.vn/product-p3337851.html?spid=3412929,69200,108000,5,1,available,instock,,,,,,,,,,,,,,,2022-5-5
138941239,Ốp lưng dành cho Iphone 13 Mini - Iphone 13 - Iphone 13 Pro -  Iphone 13 Pro Max - Hổ Lửa 1,https://tiki.vn/product-p138941239.html?spid=138941247,69000,71000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,0.2,,,,,2022-5-5
170497385,Điện thoại Samsung Galaxy A53 5G (8GB/128GB) - Hàng chính hãng,https://tiki.vn/product-p170497385.html?spid=170497389,8690000,9990000,4.8,41,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
55754979,Ốp lưng dành cho Iphone 11 Pro Max mẫu Tình Yêu Vũ Trụ 1,https://tiki.vn/product-p55754979.html?spid=55754980,52000,77000,0,0,available,backorder,OEM,,,,,,158 x 77.8 x 8.1 (mm),,Việt Nam,,,,,,2022-5-5
141501156,Ốp lưng dành cho Iphone 13 Mini - Iphone 13 - Iphone 13 Pro -  Iphone 13 Pro Max - Icon Happy 1,https://tiki.vn/product-p141501156.html?spid=141501162,61000,67000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,0.2,,,,,2022-5-5
105635080,"Ốp Chống Sốc Cho Iphone 6,6s,6plus,6splus,7plus,8plus,X,Xsmax Loại 1 Siêu Dày",https://tiki.vn/product-p105635080.html?spid=105635082,15000,15000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
115765559,Điện Thoại Samsung Galaxy Z Flip 3 (256GB) - Hàng Chính Hãng,https://tiki.vn/product-p115765559.html?spid=117281886,20490000,26990000,4.5,18,available,instock,Samsung,"Camera góc rộng: 12MP 2PD, OIS, F1.8; Camera góc siêu rộng: 12MP, F2.2, 123°",10MP f2.4,Adreno 660,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz","<p>Khi mở: 167.3 x 73.6 x 7.2mm, Khi gập: 87.4 x 73.6 x 17.3mm</p>",Dynamix AMOLED 2X,Việt Nam/Ấn Độ/Trung Quốc (Tùy từng đợt nhập hàng),183 g,8GB,,256GB,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,2022-5-5
10095749,Ốp lưng dành cho điện thoại IPHONE XR Vịt Con Dễ Thương Mẫu 1,https://tiki.vn/product-p10095749.html?spid=10095750,79000,79000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
24887109,Ốp kính cho iPhone XS ĐÔREMON 1 - Hàng chính hãng,https://tiki.vn/product-p24887109.html?spid=24887110,55000,105000,0,0,available,backorder,OLSG,,,,,,,,Việt Nam,,,,,,2022-5-5
51624111,Ốp lưng in cho Iphone X/ Xs Mẫu Toán Học 1,https://tiki.vn/product-p51624111.html?spid=51624112,51500,76700,5,1,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
172998120,Điện thoại Samsung Galaxy M23 5G (6GB/128GB) - Hàng chính hãng,https://tiki.vn/product-p172998120.html?spid=172998337,5290000,6890000,4.6,19,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
159110705,Điện thoại itel Vision 1 Pro L6502 (2GB/32GB) - Hàng chính hãng,https://tiki.vn/product-p159110705.html?spid=159110707,1949000,2290000,0,0,available,backorder,OEM,,,,,,,,,,2GB,,32GB,Có,2022-5-5
22697162,Bút Cảm Ứng 2 Trong 1 Cho iPhone iPad Máy Tính Bảng Samsung Đen,https://tiki.vn/product-p22697162.html?spid=22697175,88000,88000,3,1,available,backorder,OEM,,,,,,,,,,,,,,2022-5-5
123348908,Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,https://tiki.vn/product-p123348908.html?spid=70766427,18290000,18290000,5,118,available,instock,Apple,12 MP + 12 MP,12 MP,Apple GPU (4-core graphics),Apple A14 Bionic (5 nm),,146.7 x 71.5 x 7.4 mm,"Super Retina XDR OLED, HDR10, Dolby Vision, Wide color gamut, True-tone",Trung Quốc,164g,4GB,,128GB,Có,2022-5-5
74932860,Điện Thoại Samsung Galaxy A12 (4GB/128GB) - Hàng Chính Hãng,https://tiki.vn/product-p74932860.html?spid=100896975,3629000,4290000,4.8,60,available,backorder,Samsung,"Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,,MediaTek Helio G35 8 nhân,8 nhân 2.3 GHz,<p>Dài 164 mm - Ngang 75.8 mm - Dày 8.9 mm</p>,PLS TFT LCD,Hàn Quốc,205g,4 GB,HD+ (720 x 1600 pixels),128 GB,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot",2022-5-5
3762921,Ốp Lưng Dành Cho Iphone 6 Mẫu 1,https://tiki.vn/product-p3762921.html?spid=3764629,59000,59000,5,1,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
3337849,Somebody Better: Page Turners 1,https://tiki.vn/product-p3337849.html?spid=3412927,64100,108000,0,0,available,instock,,,,,,,,,,,,,,,2022-5-5
123547404,Điện Thoại iPhone 13 Mini 128GB  - Hàng  Chính Hãng,https://tiki.vn/product-p123547404.html?spid=168777584,18490000,18490000,5,127,available,instock,Apple,Góc rộng ống kính f/1.8 - Siêu rộng,,GPU 4 nhân,Chip A15 Bionic (5nm),,131.5 x 64.2 x 7.4 mm,Super Retina XDR,Trung Quốc,135g,4GB,,128GB,WiFi 6E,2022-5-5
170580388,Điện thoại Samsung Galaxy A13 (4GB/128GB) - Hàng chính hãng,https://tiki.vn/product-p170580388.html?spid=170580396,4190000,4990000,5,19,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
141501659,Ốp lưng dành cho Iphone 13 Mini - Iphone 13 - Iphone 13 Pro -  Iphone 13 Pro Max - Người Vũ Trụ 1,https://tiki.vn/product-p141501659.html?spid=141501661,56000,67000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,0.2,,,,,2022-5-5
141498494,Ốp lưng dành cho Iphone 13 Mini - Iphone 13 - Iphone 13 Pro -  Iphone 13 Pro Max - Âm Dương 1,https://tiki.vn/product-p141498494.html?spid=141498500,56000,67000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,0.2,,,,,2022-5-5
13510953,Ốp lưng dành cho iPhone XR Minion 1 mắt,https://tiki.vn/product-p13510953.html?spid=13510954,56000,100000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
175845367,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,https://tiki.vn/product-p175845367.html?spid=175845371,9490000,15490000,4.8,9,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
152807152,Đầu sạc Adapter 3 in 1 Baseus chia cổng iPhone thành 2 cổng iPhone và 1 cổng tai nghe AUX 3.5mm - Hàng chính hãng,https://tiki.vn/product-p152807152.html?spid=152807213,249000,249000,1,1,available,backorder,Baseus,,,,,,,,Hong Kong,,,,,,2022-5-5
92960088,Ốp lưng mặt kính in hình dễ thương dành cho Iphone Mẫu 1,https://tiki.vn/product-p92960088.html?spid=92960100,79000,79000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
9545718,Ốp lưng dành cho điện thoại IPHONE 7 Cún Con Dễ Thương Mẫu 1,https://tiki.vn/product-p9545718.html?spid=9545719,46214,46214,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
173383634,Điện thoại Samsung M33 5G (8Gb/128GB) - Hàng chính hãng,https://tiki.vn/product-p173383634.html?spid=173383640,6590000,7990000,5,6,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
9545356,Ốp lưng dành cho điện thoại IPHONE 6S PLUS Cánh Bướm Xanh Mẫu 1,https://tiki.vn/product-p9545356.html?spid=9545357,46121,46121,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
8922139,Ốp lưng dành cho điện thoại IPHONE 6 PLUS Mèo Thần Tài Mẫu 1,https://tiki.vn/product-p8922139.html?spid=52302831,19000,19000,5,1,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
14026066,Page Turners level 1: Come Home,https://tiki.vn/product-p14026066.html?spid=14026067,194000,314000,5,1,available,instock,,,,,,,20.8 x 15 cm,,,,,,,,2022-5-5
162583902,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng,https://tiki.vn/product-p162583902.html?spid=162583906,22990000,25990000,5,8,available,instock,Samsung,,,,,,,,,,,,,,2022-5-5
14026068,Page Turners level 1: Roommates,https://tiki.vn/product-p14026068.html?spid=14026069,109000,184000,0,0,available,instock,,,,,,,21 x 14.5 cm,,,,,,,,2022-5-5
17965407,1 Page At A Time,https://tiki.vn/product-p17965407.html?spid=17965408,496600,534000,0,0,available,backorder,,,,,,,,,,,,,,,2022-5-5
8922468,Ốp lưng dành cho điện thoại IPHONE XS Mèo Thần Tài Mẫu 1,https://tiki.vn/product-p8922468.html?spid=8922469,46214,46214,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
162583980,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng,https://tiki.vn/product-p162583980.html?spid=162583982,23990000,27490000,4.6,5,available,instock,Samsung,"Chính 50 MP & Phụ 12 MP, 10 MP",10 MP,Adreno 730,Snapdragon 8 Gen 1 8 nhân,,,Dynamic AMOLED 2X 120Hz,,,8GB,Full HD+ (1080 x 2340 Pixels),256GB,,2022-5-5
